date	COMPANY	Open	High	Low	Close	Open_p	High_p	Low_p	Close_p
2005-12-20	AXP	82.76	83.1	82.1	82.3514	-0.008862275449101786	-0.005980861244019087	-0.006690622239967081	-0.004335630516261624
2005-12-20	BA	70.62	71.08	70.15	70.7646	-0.005492184199408556	0.0009857766511758292	0.007612754955472534	0.006608819345661487
2005-12-20	AA	28.54	28.72	28.182	28.3	0.012056737588652444	0.0056022408963585235	-0.0006382978723404875	-0.008756567425569184
2005-12-20	BAC	46.53	46.85	46.53	46.7175	-0.005131494547787052	-0.0008530603540199966	0.004316857327865353	0.004029658284977478
2005-12-20	INTC.O	25.84	26.09	25.7	25.86	-0.020470053070507976	-0.01323751891074132	-0.001941747572815511	0.0015491866769945517
2005-12-20	UNH	77.57	78.26	77.33	77.43	0.009106283335501342	0.006688963210702559	0.005984129049043663	-0.001032124887111352
2005-12-20	HON	41.51	41.55	41.16	41.22	0.007279786459597037	-0.005028735632183978	0.00048614487117148997	-0.006507592190889477
2005-12-20	MSFT.O	26.86	26.89	26.71	26.85	-0.0014869888475835813	-0.002226345083487846	0.002251407129455929	0.005617977528090012
2005-12-20	C	49.07	49.5	49.07	49.21	-0.002844950213371278	-0.004825090470446325	0.0012242399510304924	0.0008135041692087785
2005-12-20	T	24.83	24.94	24.55	24.6	-0.005208333333333481	-0.0008012820512820484	-0.006072874493927016	-0.009262988320579812
2005-12-20	NKE	38.09	38.49	37.97	38.15	0.0055438225976769395	0.002343750000000089	0.007429026266914329	0.008266996500797985
2005-12-20	HPQ	71.74	72.36	71.15	71.9	0.0054660126138752485	-0.0019296578340107784	0.0009848058525605552	0.006298110566830051
2005-12-20	GS	125.0	126.24	124.37	126.24	-0.01806755695208162	-0.009105180533752089	-0.0010441767068273267	0.007019783024888371
2005-12-20	VZ	30.52	30.64	30.41	30.5284	0.0009839291571007713	0.0006531678641410466	0.005289256198347081	0.0006850774399738135
2005-12-20	CSCO.O	17.47	17.56	17.28	17.28	-0.00569151963574277	-0.005099150141643083	-0.010303609986311524	-0.011441647597253968
2005-12-20	DD	42.25	42.61	41.94	41.94	-0.00283219258909595	0.0014124592537232417	0.0007158196134573469	-0.004724828010090443
2005-12-20	KO	31.58	31.58	31.22	31.2594	-0.002211690363349117	-0.004727387330602073	-0.010773130544993625	-0.01304286052569259
2005-12-20	AIG	65.82	66.28	65.24	65.3328	0.0007602250266078858	-0.0077844311377245345	-0.005487804878048785	-0.007402005469462014
2005-12-20	CAT	56.85	57.72	56.6	56.74	-0.04805760214333554	-0.03348961821835228	0.0035460992907800915	-0.0014079549454417695
2005-12-20	MMM	61.19	61.19	60.68	60.78	0.003114754098360706	-0.013064516129032255	-0.0029576076240551696	-0.006676091095548897
2005-12-20	V	34.23	34.35	33.82	34.15	-0.014964028776978555	-0.01632302405498287	-0.008211143695014744	-0.0017567911230893518
2005-12-20	IBM	76.58	77.0299	75.64	75.95	-0.013779781068898989	-0.007985833869929237	-0.011500261369576492	-0.01042345276872958
2005-12-20	MCD	62.0	63.8	61.81	63.0	-0.025923016496465	0.002356637863315081	0.0122830003275467	0.022727272727272707
2005-12-20	GE	35.85	35.86	35.39	35.6	-0.00471960022209883	-0.008844665561083431	-0.007293127629733442	-0.006141820212171911
2005-12-20	HD	41.82	41.85	41.26	41.38	-0.016000000000000014	-0.016451233842538104	-0.00824459774535502	-0.008624820316243342
2005-12-20	JNJ	58.55	58.68	57.91	58.21	0.006878761822871837	-0.0017012589316094395	0.0024234031504239972	-0.003410421645905104
2005-12-20	JPM	39.74	39.77	39.44	39.643	-0.0012565971349585148	-0.0032581453634084045	-0.0012661433274248068	0.0010858585858586345
2005-12-20	XOM	58.1	58.27	57.7	57.9	-0.00034411562284919484	-0.005291908501194875	0.00104094378903552	0.0025974025974024872
2005-12-20	WMT	48.76	48.95	48.4	48.63	-0.011955420466058797	-0.022954091816367206	-0.010022499488647973	-0.00531806095316012
2005-12-20	CVX	57.15	58.0	56.74	57.05	-0.009360374414976613	0.002246414377051975	0.0006525227942084655	0.005109231853417828
2005-12-20	GM	21.15	21.15	19.1	19.33	-0.03863636363636369	-0.03863636363636369	-0.08830548926014314	-0.08214624881291555
2005-12-20	UTX	57.2	57.76	57.2	57.42	-0.01447277739490005	-0.004824259131633424	0.0017513134851139256	-0.0011359425801030776
2005-12-20	DIS	24.54	24.6	24.0	24.15	-0.006477732793522262	-0.008863819500402825	-0.020408163265306145	-0.02015677491601342
2005-12-20	AAPL.O	51.25	51.99	51.25	51.75	-0.013094550356248846	0.001155401502022091	-0.00038814197023984143	0.009362200117027486
2005-12-20	MRK	32.3	32.31	31.81	32.0351	0.05797576154602013	0.0009262672668302052	0.04192597445135915	-0.005121118012422432
2005-12-20	TRV	28.86	28.9	28.0	28.0	-0.0031088082901554737	-0.007214015802129881	-0.01581722319859402	-0.020979020979021046
2005-12-20	MO	87.06	88.7252	84.68	85.3	-0.017381489841986397	-0.0012922107158938045	-0.028676301904106416	-0.032989456977666864
2005-12-20	PFE	24.32	24.41	23.88	24.1	-0.02642113690952763	-0.04124116260801258	-0.012406947890818865	-0.009453349773941522
