VZ	30.88	30.93	30.78	30.88
GE	15.87	16.0707	15.8299	16
GM	150.24	150.88	148.98	150.5
GS	16.73	17	16.68	16.99
PFE	70.64	71.52	70.43	71.25
CAT	77.99	78.88	77.7	78.78
CVX	3.92	3.95	3.89	3.89
C	36.12	36.71	36.12	36.61
MRK	36.29	36.43	35.67	36.4
AIG	11.12	11.351	11.08	11.25
AA	61.13	61.45	60.99	61.23
XOM	13.55	13.64	13.51	13.57
BAC	29.48	29.76	29.3718	29.68
HD	20.5	20.69	20.1514	20.65
CSCO.O	63.44	64.09	62.97	63.6
BA	23.89	24.08	23.79	23.87
MSFT.O	27.94	27.94	27.63	27.82
T	34.185	34.28	34.06	34.15
DIS	18	18.1	17.84	17.99
INTC.O	40.1	40.240002	39.6729	39.79
JPM	42.18	42.53	42.18	42.29
DD	51.91	52.14	51.72	52.14
WMT	68.9	69.139999	68.51	68.89
UTX	50.27	50.3354	49.55	50.0375
TRV	38.82	38.9	37.914	38.29
HPQ	264.25	264.45	261.635	263.32
AAPL.O	40.69	41	39.9762	40.23
AXP	126.36	128.279999	126.28	127.95
IBM	23.83	24	23.63	23.94
MO	73.92	74.81	73.69	73.75
NKE	42.18	42.885	41.97	42.8608
HON	58.29	58.62	58.026	58.52
KO	66.96	68.38	66.6	68.1
V	74.65	75.1215	74.22	74.97
MCD	33.97	34.63	33.82	34.48
UNH	83.1	84.06	82.69	84.06
MMM	59.95	60	59.78	59.98
JNJ	60.81	60.81	60.279999	60.4
