VZ	30.5	31.39	29.67	30
GE	19.04	19.8	19.04	19.64
GM	6.3	6.3	5.62	5.92
GS	89	94.74	87.34	92.15
PFE	17.6	18.25	17.6	17.79
CAT	37.32	39.16	36.16	38.2
CVX	73.9	75.9	72.211	74.6
C	12.66	13.81	12.66	13.69
MRK	29.9	31.62	29.9	31.11
AIG	1.6	1.95	1.49	1.84
AA	11.35	11.68	11.085	11.68
XOM	74	77.25	73.31	74.3
BAC	22.28	24.17	22.25	24
HD	22.5	24.02	22.36	23
CSCO.O	17.68	17.96	17.3299	17.83
BA	49.6	53	49.31	53
MSFT.O	22.5	22.89	22.14	22.46
T	26.99	28.25	26.7	27.18
DIS	25.1	26.4599	24.9875	25.76
INTC.O	15.76	16.48	15.625	16.1
JPM	37	41.2912	37	41.08
DD	32.04	32.65	31.38	32
WMT	54.5	56.71	54.09	56.28
UTX	53.08	55.56	52.54	55.015
TRV	41.15	42.889999	39.47	42.5925
HPQ	37.3	39.235	37.01	38.28
AAPL.O	109.54	110.71	105.41	108.1
AXP	26.48	27.85	25	27.44
IBM	90	94.11	89.17	92.97
MO	19.15	19.68	18.93	19.3
NKE	55	58.99	55	57.63
HON	30.13	30.66	29.54	30.45
KO	44.45	45.94	43.5	43.94
V	54.25	56.05	53	55.35
MCD	56.9	58.72	56.5	57.9879
UNH	22.76	24.15	21.36	23.73
MMM	62.02	64.98	62.02	64.2357
JNJ	60.55	61.6	59.88	61.6
PG	62.51	64.85	62.51	64.39
