VZ	36.75	37.07	36.38	37.07
GE	32.98	33.38	32.81	33.2
GM	22.11	22.35	21.04	21.3
GS	186.6	192.4	186.6	192.05
PFE	20.09	20.45	20.09	20.4
CAT	82.03	83	81.25	81.81
CVX	92.6	93.18	91.25	92.5
C	26	26.72	25.76	26.66
MRK	39.95	40.86	39.65	40.69
AIG	46.97	47.8	46.3	47.5
AA	35.08	35.78	34.59	35.72
XOM	92.9	93.37	91.728	92.68
BAC	38	38.66	37.6	38.19
HD	29.25	29.8	28.8	29.78
CSCO.O	26.02	26.17	25.11	25.6
BA	83	85.3	82.99	84.55
MSFT.O	30.4	30.53	29.6	29.87
T	38.95	38.95	38.16	38.53
DIS	32.04	32.5	31.96	32.5
INTC.O	22.6	22.65	22.07	22.47
JPM	47.45	47.84	46.59	47.79
DD	49.97	50.03	49.18	49.61
WMT	57.84	58.24	57.16	57.4
UTX	72.7	73.08	72.11	72.515
TRV	51	51.11	49.32	49.85
HPQ	48.14	48.25	46.79	46.95
AAPL.O	167.65	171.6	166.57	169.9
AXP	46.3	47.99	45.8	46.66
IBM	124.15	124.3	122.07	123.06
MO	22	22	21.23	21.77
NKE	68.52	68.82	67.73	68.13
HON	60.68	61.38	59.81	61.38
KO	60.4	60.4	58.97	59.37
V	73.5	76.65	73.5	75.75
MCD	59.58	59.99	59.27	59.59
UNH	33.59	34.26	33.58	34
MMM	79	79	76.49	77.2
JNJ	67.75	67.75	66.95	67.15
PG	66.97	66.9773	66.18	66.57
